Compound,Date,Negative,Neutral,Positive,Screen_Name
0.4019,Fri Nov 24 21:17:06 +0000 2017,0.856,0.0,0.144,BBC
0.0,Fri Nov 24 20:30:06 +0000 2017,1.0,0.0,0.0,BBC
0.2263,Fri Nov 24 20:00:03 +0000 2017,0.808,0.0,0.192,BBC
0.0,Fri Nov 24 19:35:04 +0000 2017,1.0,0.0,0.0,BBC
0.2023,Fri Nov 24 18:57:03 +0000 2017,0.917,0.0,0.083,BBC
-0.5574,Fri Nov 24 17:37:03 +0000 2017,0.769,0.231,0.0,BBC
0.0,Fri Nov 24 17:20:10 +0000 2017,1.0,0.0,0.0,BBC
0.2263,Fri Nov 24 16:35:04 +0000 2017,0.888,0.0,0.112,BBC
0.4019,Fri Nov 24 15:02:20 +0000 2017,0.847,0.0,0.153,BBC
-0.8225,Fri Nov 24 14:54:29 +0000 2017,0.648,0.352,0.0,BBC
0.0,Fri Nov 24 14:53:20 +0000 2017,1.0,0.0,0.0,BBC
0.0,Fri Nov 24 14:32:02 +0000 2017,1.0,0.0,0.0,BBC
0.1695,Fri Nov 24 13:58:03 +0000 2017,0.926,0.0,0.074,BBC
0.4019,Fri Nov 24 13:30:03 +0000 2017,0.828,0.0,0.172,BBC
0.6124,Fri Nov 24 13:00:06 +0000 2017,0.821,0.0,0.179,BBC
0.0,Fri Nov 24 12:30:05 +0000 2017,1.0,0.0,0.0,BBC
0.5267,Fri Nov 24 12:00:15 +0000 2017,0.841,0.0,0.159,BBC
-0.6249,Fri Nov 24 11:03:03 +0000 2017,0.711,0.223,0.066,BBC
0.0,Fri Nov 24 10:36:03 +0000 2017,1.0,0.0,0.0,BBC
0.0,Fri Nov 24 10:15:04 +0000 2017,1.0,0.0,0.0,BBC
0.54,Fri Nov 24 15:00:03 +0000 2017,0.852,0.0,0.148,CBS
0.4926,Fri Nov 24 14:56:13 +0000 2017,0.862,0.0,0.138,CBS
0.0,Fri Nov 24 13:57:14 +0000 2017,1.0,0.0,0.0,CBS
0.7845,Fri Nov 24 12:00:01 +0000 2017,0.723,0.0,0.277,CBS
0.34,Thu Nov 23 20:18:29 +0000 2017,0.888,0.0,0.112,CBS
0.6514,Thu Nov 23 17:15:35 +0000 2017,0.806,0.0,0.194,CBS
0.6114,Thu Nov 23 15:07:33 +0000 2017,0.765,0.0,0.235,CBS
0.0,Wed Nov 22 23:08:26 +0000 2017,1.0,0.0,0.0,CBS
0.69,Wed Nov 22 22:45:04 +0000 2017,0.76,0.0,0.24,CBS
0.0,Wed Nov 22 21:18:51 +0000 2017,1.0,0.0,0.0,CBS
0.0,Wed Nov 22 20:44:16 +0000 2017,1.0,0.0,0.0,CBS
0.0,Wed Nov 22 17:45:04 +0000 2017,1.0,0.0,0.0,CBS
0.0,Wed Nov 22 15:00:08 +0000 2017,1.0,0.0,0.0,CBS
0.8442,Wed Nov 22 12:00:05 +0000 2017,0.569,0.0,0.431,CBS
0.5781,Tue Nov 21 22:09:07 +0000 2017,0.816,0.0,0.184,CBS
0.5859,Tue Nov 21 21:33:24 +0000 2017,0.774,0.0,0.226,CBS
0.3612,Tue Nov 21 20:17:35 +0000 2017,0.906,0.0,0.094,CBS
-0.1027,Tue Nov 21 19:53:08 +0000 2017,0.909,0.091,0.0,CBS
-0.1027,Tue Nov 21 19:51:56 +0000 2017,0.903,0.097,0.0,CBS
0.4019,Tue Nov 21 14:52:23 +0000 2017,0.876,0.0,0.124,CBS
-0.0772,Fri Nov 24 06:20:01 +0000 2017,0.782,0.114,0.104,fox
